id	Variant	step1	step2	step3	step4	cat1	cat2	cat3
a1	1	202	114	0	0	2	6	19
a2	1	497	34	16	32	3	6	20
a3	1	146	0	0	0	1	3	5
a4	1	282	0	0	0	1	5	8
a5	1	313	0	0	0	1	1	1
a6	2	408	0	0	0	1	8	20
a7	2	60	0	0	0	3	4	17
a8	2	280	0	0	0	1	2	6
a9	2	248	23	0	0	3	4	10
a10	1	348	75	11	11	2	3	18
a11	1	253	0	0	0	1	3	15
a12	1	406	293	0	0	1	4	16
a13	1	34	0	0	0	1	3	1
a14	1	248	181	115	115	3	1	16
a15	1	84	1	1	2	3	5	14
a16	1	165	0	0	0	2	5	3
a17	1	277	13	8	24	2	6	12
a18	1	240	89	0	0	2	6	11
a19	1	143	0	0	0	1	6	15
a20	1	32	0	0	0	2	2	3
a21	1	52	34	21	42	3	1	4
a22	1	180	173	0	0	2	1	9
a23	1	313	0	0	0	2	7	4
a24	1	147	0	0	0	3	1	3
a25	1	483	0	0	0	1	4	12
a26	1	270	43	18	18	2	7	8
a27	1	21	19	3	6	2	6	2
a28	1	185	112	89	267	1	6	7
a29	1	365	0	0	0	3	4	10
a30	1	48	0	0	0	1	8	5
a31	1	245	0	0	0	2	2	10
a32	1	152	0	0	0	3	6	14
a33	1	469	0	0	0	1	6	10
a34	1	50	13	0	0	1	7	4
a35	1	489	119	0	0	1	7	16
a36	1	60	0	0	0	3	1	17
a37	1	120	0	0	0	1	3	11
a38	1	104	0	0	0	2	6	11
a39	1	386	0	0	0	2	6	8
a40	1	382	0	0	0	2	5	15
a41	1	25	0	0	0	3	2	12
a42	1	95	0	0	0	2	4	4
a43	1	174	65	37	37	3	5	12
a44	1	237	27	0	0	2	6	6
a45	1	266	77	28	28	1	1	19
a46	1	11	7	0	0	2	4	7
a47	1	65	11	0	0	3	6	20
a48	1	271	256	0	0	3	6	1
a49	1	340	275	53	53	2	5	1
a50	1	260	0	0	0	1	2	20
a51	2	405	382	0	0	2	4	14
a52	2	170	0	0	0	1	5	15
a53	2	274	0	0	0	1	5	18
a54	2	127	22	8	24	3	6	3
a55	2	433	0	0	0	1	3	9
a56	2	378	309	209	209	3	4	11
